,aX,aY,aZ,gX,gY,gZ
0,0.928955078125,-2.56494140625,-1.486083984375,-346.8404235839844,-580.6781005859375,23.54960060119629
1,1.085693359375,-3.186279296875,-1.686279296875,-341.9576110839844,-564.3817138671875,96.36454010009766
2,1.216064453125,-3.816650390625,-1.876953125,-313.1490173339844,-547.2308349609375,156.5452117919922
3,1.357666015625,-4.42138671875,-2.069091796875,-273.2320251464844,-528.7982177734375,229.9705047607422
4,1.53271484375,-5.1279296875,-2.299560546875,-234.3526153564453,-510.1214599609375,334.8288879394531
5,1.614501953125,-5.5185546875,-2.425048828125,-229.7139434814453,-497.4261474609375,393.1174621582031
6,1.757568359375,-6.181640625,-2.6796875,-234.5967559814453,-480.9466552734375,421.1936340332031
7,1.996337890625,-7.240966796875,-3.106201171875,-216.4693145751953,-453.1146240234375,432.0578918457031
8,2.2236328125,-7.920166015625,-3.390380859375,-176.7964630126953,-440.7244873046875,460.1950988769531
9,2.28955078125,-7.937255859375,-3.460205078125,-135.5366973876953,-448.2318115234375,528.2493286132812
10,2.092041015625,-7.6474609375,-3.24365234375,-101.84529876708984,-463.4295654296875,577.3826293945312
11,2.001708984375,-7.43017578125,-3.15380859375,-69.61873626708984,-459.2791748046875,543.8132934570312
12,1.962158203125,-7.24560546875,-3.095458984375,-17.25057029724121,-454.0301513671875,496.2668762207031
13,1.88818359375,-6.8759765625,-2.99951171875,70.88419342041016,-469.2889404296875,482.4118957519531
14,1.821044921875,-6.454833984375,-2.88232421875,132.4686737060547,-492.4212646484375,488.9426574707031
15,1.646728515625,-5.84619140625,-2.691650390625,189.2924041748047,-510.7928466796875,468.0686340332031
16,1.488037109375,-5.290283203125,-2.517822265625,262.2294006347656,-521.6571044921875,386.5256652832031
17,1.30224609375,-4.640625,-2.361572265625,321.0062561035156,-526.8450927734375,307.1189270019531
18,1.235595703125,-4.42822265625,-2.358154296875,391.7460021972656,-530.0799560546875,230.1536102294922
19,1.141845703125,-4.09326171875,-2.3408203125,472.1903381347656,-530.6292724609375,163.1980438232422
20,1.007080078125,-3.489013671875,-2.22021484375,562.8275756835938,-531.3616943359375,89.83377838134766
21,0.87646484375,-3.0859375,-2.099853515625,601.4017944335938,-524.5867919921875,20.31473731994629
22,0.7509765625,-2.72119140625,-1.950439453125,618.1864624023438,-511.4031982421875,-64.27999114990234
23,0.55908203125,-2.19091796875,-1.66796875,612.8153686523438,-481.5570068359375,-196.9704132080078
24,0.412109375,-1.8271484375,-1.438232421875,599.2045288085938,-455.8612060546875,-291.5138854980469
25,0.357666015625,-1.646728515625,-1.320556640625,576.0722045898438,-429.6160888671875,-376.1696472167969
26,0.3349609375,-1.566162109375,-1.156982421875,521.1405639648438,-394.5819091796875,-479.3800964355469
27,0.369140625,-1.554931640625,-1.045654296875,453.8797912597656,-375.9661865234375,-542.1852416992188
28,0.4169921875,-1.5478515625,-0.9384765625,365.6229553222656,-365.7122802734375,-586.0084838867188
29,0.501708984375,-1.5224609375,-0.845947265625,240.8060760498047,-363.0877685546875,-617.9298706054688
30,0.5869140625,-1.600341796875,-0.856201171875,155.0516815185547,-365.9564208984375,-630.1979370117188
31,0.680908203125,-1.677001953125,-0.88134765625,77.84220123291016,-367.7264404296875,-642.0387573242188
32,0.774169921875,-1.808349609375,-0.9560546875,-27.01619529724121,-377.2479248046875,-653.5133666992188
33,0.90869140625,-2.08349609375,-1.12744140625,-113.86922454833984,-394.8870849609375,-644.6022338867188
34,1.102294921875,-2.64697265625,-1.420166015625,-210.9151153564453,-428.0291748046875,-609.2628784179688
35,1.2822265625,-3.182373046875,-1.762939453125,-328.7129821777344,-485.2191162109375,-529.6730346679688
36,1.460205078125,-3.741943359375,-2.08203125,-382.7290954589844,-518.3001708984375,-476.9997253417969
37,1.652099609375,-4.398681640625,-2.423828125,-414.5284118652344,-541.7987060546875,-433.9699401855469
38,1.81591796875,-5.13623046875,-2.8017578125,-451.1495056152344,-573.2318115234375,-376.5968933105469
39,1.98388671875,-6.073486328125,-3.315673828125,-508.7056579589844,-636.8304443359375,-236.6432647705078
40,2.110595703125,-6.92919921875,-3.740478515625,-527.9927368164062,-691.2127685546875,-106.02803802490234
41,2.27685546875,-7.8154296875,-4.115478515625,-513.4053344726562,-730.2142333984375,6.0935468673706055
42,2.283935546875,-7.937255859375,-4.153076171875,-441.9331970214844,-757.4359130859375,106.49637603759766
43,2.258056640625,-7.937255859375,-4.106689453125,-357.3995056152344,-769.1546630859375,175.0998992919922
44,2.206298828125,-7.85107421875,-3.93115234375,-260.7808532714844,-785.3900146484375,264.6384582519531
45,2.197021484375,-7.70703125,-3.824951171875,-119.48445892333984,-793.2025146484375,355.2756652832031
46,2.166748046875,-7.424560546875,-3.677978515625,-8.156331062316895,-780.5072021484375,374.0744934082031
47,2.040771484375,-6.873046875,-3.49755859375,100.73038482666016,-761.2811279296875,362.5388488769531
48,1.84521484375,-5.93994140625,-3.1435546875,235.0687713623047,-733.3270263671875,331.4719543457031
49,1.682861328125,-5.322998046875,-2.934814453125,331.9315490722656,-710.0726318359375,300.4660949707031
50,1.515869140625,-4.748779296875,-2.7744140625,427.3294982910156,-681.7523193359375,248.3420867919922
51,1.28857421875,-4.035888671875,-2.552734375,539.5731811523438,-633.9007568359375,144.6433563232422
52,1.127685546875,-3.527099609375,-2.366943359375,601.2797241210938,-592.3358154296875,55.40995407104492
53,0.96484375,-3.03759765625,-2.16064453125,639.1215209960938,-552.1746826171875,-29.00166893005371
54,0.739501953125,-2.51025390625,-1.892333984375,652.9154663085938,-501.8817138671875,-132.1510772705078
55,0.64404296875,-2.29150390625,-1.726318359375,640.2811889648438,-462.0867919921875,-206.7360382080078
56,0.55810546875,-2.141845703125,-1.551025390625,614.4633178710938,-420.8270263671875,-287.9128112792969
57,0.521484375,-2.0498046875,-1.377197265625,559.1044311523438,-365.1019287109375,-396.1891784667969
58,0.480712890625,-1.960205078125,-1.21630859375,503.5624084472656,-326.7108154296875,-470.4689636230469
59,0.487548828125,-1.854248046875,-1.037109375,436.9120178222656,-296.7425537109375,-523.6915893554688
