,aX,aY,aZ,gX,gY,gZ
0,1.335205078125,-3.657958984375,-2.2744140625,226.4628143310547,776.0113525390625,-48.53291702270508
1,1.3828125,-3.596923828125,-2.30029296875,310.8744201660156,747.4468994140625,49.85575485229492
2,1.43896484375,-3.419677734375,-2.234130859375,378.1961975097656,684.8248291015625,199.4529266357422
3,1.439453125,-3.232666015625,-2.107177734375,391.1966857910156,628.0010986328125,296.9870910644531
4,1.41552734375,-2.994873046875,-1.960205078125,395.4081115722656,573.8629150390625,363.5764465332031
5,1.815185546875,-3.844970703125,-2.203857421875,388.0838928222656,511.4239501953125,438.1614074707031
6,2.43017578125,-5.15576171875,-2.65966796875,377.1585998535156,467.5396728515625,522.8171997070312
7,2.88671875,-5.933837890625,-2.920166015625,359.2142639160156,428.2330322265625,631.3987426757812
8,3.02490234375,-6.14111328125,-2.9013671875,300.5594787597656,395.4571533203125,744.8630981445312
9,3.002685546875,-6.279541015625,-2.88525390625,225.7303924560547,380.9307861328125,783.9255981445312
10,3.143310546875,-6.8837890625,-2.998779296875,129.1117401123047,357.1270751953125,821.8284301757812
11,3.08447265625,-7.242919921875,-2.974365234375,-32.08211135864258,295.3594970703125,918.9963989257812
12,2.890869140625,-7.236572265625,-2.925048828125,-166.4204864501953,250.1324462890625,959.5237426757812
13,2.679931640625,-7.357177734375,-3.0185546875,-298.4395446777344,227.6104736328125,926.8699340820312
14,2.4208984375,-7.33154296875,-3.143310546875,-487.8316345214844,211.4971923828125,818.4714965820312
15,2.211181640625,-7.181396484375,-3.279296875,-630.8980102539062,200.6939697265625,719.4114379882812
16,1.966064453125,-6.620361328125,-3.23388671875,-737.8316040039062,200.3887939453125,609.2429809570312
17,1.80126953125,-6.055419921875,-3.161865234375,-797.4019165039062,237.5592041015625,444.0818176269531
18,1.68359375,-5.322998046875,-2.953369140625,-787.0259399414062,289.0728759765625,301.9309387207031
19,1.6689453125,-4.8779296875,-2.815673828125,-761.5742797851562,351.3287353515625,154.8972625732422
20,1.58203125,-4.343994140625,-2.6044921875,-733.1929321289062,408.6407470703125,24.64823341369629
21,1.4580078125,-3.831298828125,-2.38916015625,-689.1255493164062,465.0372314453125,-104.56319427490234
22,1.298828125,-3.341552734375,-2.11328125,-633.7666625976562,492.4420166015625,-163.0959014892578
23,1.1396484375,-2.983642578125,-1.876220703125,-564.8579711914062,510.6304931640625,-199.9611358642578
24,1.062255859375,-2.803955078125,-1.668701171875,-451.6988220214844,531.2603759765625,-236.5211944580078
25,0.92578125,-2.471435546875,-1.468505859375,-356.7281188964844,546.8243408203125,-264.0480651855469
26,0.79638671875,-2.184814453125,-1.292236328125,-275.6734313964844,561.0455322265625,-291.5749206542969
27,0.7880859375,-2.237548828125,-1.288330078125,-187.9048614501953,568.6749267578125,-321.7873229980469
28,0.94189453125,-2.705322265625,-1.443115234375,-125.77108001708984,573.7408447265625,-343.8210144042969
29,1.05810546875,-3.190185546875,-1.6279296875,-61.98933792114258,583.2623291015625,-380.0758972167969
30,1.093505859375,-3.35791015625,-1.682861328125,14.060465812683105,589.8541259765625,-415.2931823730469
31,1.166259765625,-3.589111328125,-1.76123046875,57.70060348510742,585.3375244140625,-415.1100769042969
32,1.29833984375,-3.897216796875,-1.85986328125,99.93692779541016,573.1304931640625,-384.8976745605469
33,1.5048828125,-4.178466796875,-2.003173828125,157.9813690185547,571.4215087890625,-331.1867370605469
34,2.022705078125,-5.625244140625,-2.66748046875,228.9652557373047,582.4078369140625,-245.3102569580078
35,1.974609375,-5.68017578125,-2.90771484375,368.9798889160156,641.6729736328125,-233.8356475830078
36,2.78759765625,-7.9248046875,-4.0791015625,515.0980834960938,700.3887939453125,-209.4826202392578
37,3.22412109375,-7.937255859375,-4.39990234375,585.8378295898438,711.3140869140625,-133.4938507080078
38,3.39208984375,-7.937255859375,-4.37841796875,588.2182006835938,650.2178955078125,73.78153228759766
39,3.73486328125,-7.937255859375,-4.479736328125,537.8641967773438,556.5289306640625,311.6965637207031
40,3.637939453125,-7.937255859375,-4.29296875,542.8080444335938,544.8712158203125,370.4734191894531
41,3.1513671875,-7.05322265625,-3.629150390625,541.5263061523438,548.6553955078125,403.4324035644531
42,2.840087890625,-6.070556640625,-3.019775390625,427.6957092285156,494.6392822265625,502.8586730957031
43,2.396240234375,-5.10791015625,-2.333251953125,214.4388885498047,401.8658447265625,620.4734497070312
44,1.945068359375,-4.143798828125,-1.916015625,129.8441619873047,368.1134033203125,662.9539184570312
45,1.6162109375,-3.3935546875,-1.585205078125,72.34903717041016,350.4742431640625,668.8132934570312
46,1.060302734375,-2.04248046875,-1.0302734375,24.92472267150879,340.5865478515625,650.9910278320312
47,0.76611328125,-1.486083984375,-0.76953125,-53.62752151489258,317.5762939453125,633.4739379882812
48,0.5751953125,-1.206787109375,-0.62939453125,-146.7061309814453,289.6832275390625,611.6843872070312
49,0.458251953125,-1.306884765625,-0.680419921875,-316.8111267089844,241.2823486328125,568.5935668945312
50,0.45166015625,-1.659912109375,-0.87841796875,-454.8116149902344,198.8018798828125,544.4846801757812
51,0.59033203125,-2.299560546875,-1.188232421875,-556.7402954101562,163.5235595703125,535.1463012695312
52,0.635986328125,-2.69140625,-1.409912109375,-624.9165649414062,130.1983642578125,525.6858520507812
53,0.439697265625,-2.175048828125,-1.1865234375,-600.9297485351562,125.6817626953125,508.2908020019531
54,0.331787109375,-1.787841796875,-1.013671875,-567.7876586914062,130.2593994140625,463.0027160644531
55,0.29345703125,-1.3251953125,-0.825439453125,-532.6314086914062,148.9971923828125,363.6374816894531
56,0.31591796875,-1.098388671875,-0.755615234375,-524.5747680664062,174.7540283203125,278.5544738769531
57,0.432861328125,-1.07666015625,-0.809326171875,-543.0684204101562,211.6802978515625,188.5886688232422
58,0.882568359375,-2.065185546875,-1.29345703125,-611.1226196289062,289.3170166015625,34.10868453979492
59,1.75830078125,-3.968994140625,-2.47021484375,-730.3853149414062,386.1187744140625,-246.3478546142578
